Unique_Key,Created_Date,Closed_Date,Agency,Complaint_Type,Descriptor,Borough,Incident_Zip,Status,Open_Data_Channel_Type
63619236,2025-01-03T22:22:44.000,,HPD,PAINT/PLASTER,WALL,BROOKLYN,11216.0,Open,ONLINE
63619459,2025-01-03T12:20:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),BROOKLYN,11203.0,Started,ONLINE
63619792,2025-01-03T10:39:51.000,,TLC,For Hire Vehicle Complaint,Driver Report - Non Passenger,QUEENS,11436.0,In Progress,PHONE
63619924,2025-01-03T10:28:43.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11209.0,In Progress,ONLINE
63620364,2025-01-03T09:50:04.000,,DSNY,Lot Condition,Trash,QUEENS,11421.0,In Progress,PHONE
63620442,2025-01-03T18:03:00.000,2025-01-03T19:25:00.000,DOT,Traffic Signal Condition,Controller,MANHATTAN,10002.0,Assigned,UNKNOWN
63621107,2025-01-03T12:17:00.000,,DOT,Street Light Condition,Street Light Out,BROOKLYN,11211.0,Assigned,UNKNOWN
63621123,2025-01-02T07:00:00.000,,DOT,Street Condition,Wear & Tear,STATEN ISLAND,10309.0,Pending,UNKNOWN
63621155,2025-01-01T19:48:34.000,,DOT,Street Condition,Wear & Tear,MANHATTAN,10021.0,Pending,UNKNOWN
63621544,2025-01-03T05:46:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10473.0,Assigned,UNKNOWN
63622043,2025-01-03T22:22:44.000,,HPD,DOOR/WINDOW,WINDOW FRAME,BROOKLYN,11216.0,Open,ONLINE
63622288,2025-01-03T22:22:44.000,,HPD,PAINT/PLASTER,CEILING,BROOKLYN,11216.0,Open,ONLINE
63622430,2025-01-03T09:07:00.000,2025-01-02T08:59:00.000,DOT,Street Light Condition,Street Light Cycling,BRONX,10451.0,Pending,UNKNOWN
63622568,2025-01-03T10:35:00.000,,DEP,Water System,Hydrant Running (WC3),BRONX,10461.0,Started,PHONE
63622678,2025-01-03T14:44:07.000,,DOT,Street Condition,Pothole,STATEN ISLAND,10312.0,Pending,UNKNOWN
63622936,2025-01-04T16:32:29.000,,DPR,Damaged Tree,Tree Leaning/Uprooted,QUEENS,11378.0,In Progress,PHONE
63622951,2025-01-04T21:36:02.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,QUEENS,11379.0,In Progress,ONLINE
63623416,2025-01-04T16:29:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),BRONX,10467.0,Started,ONLINE
63624152,2025-01-04T11:49:05.000,,HPD,UNSANITARY CONDITION,PESTS,BROOKLYN,11213.0,Open,PHONE
63624436,2025-01-04T22:06:43.000,,TLC,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,MANHATTAN,10016.0,In Progress,MOBILE
63625101,2025-01-04T12:53:18.000,2025-01-09T12:00:00.000,DOHMH,Indoor Air Quality,Sewage Odor,MANHATTAN,10019.0,Assigned,ONLINE
63625713,2025-01-04T07:15:54.000,,DSNY,Lot Condition,Trash,STATEN ISLAND,10308.0,In Progress,PHONE
63625846,2025-01-04T16:28:39.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,QUEENS,11378.0,In Progress,PHONE
63627337,2025-01-04T14:46:43.000,,DSNY,Lot Condition,Trash,MANHATTAN,10027.0,In Progress,PHONE
63627506,2025-01-04T11:26:07.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,QUEENS,11428.0,In Progress,ONLINE
63627524,2025-01-04T09:28:53.000,,DPR,Illegal Tree Damage,Bicycle Chained to Tree,BROOKLYN,11236.0,In Progress,PHONE
63627928,2025-01-04T12:01:00.000,2025-01-05T10:40:00.000,DOT,Traffic Signal Condition,Ped Lamp,BROOKLYN,11222.0,Assigned,UNKNOWN
63629066,2025-01-04T13:50:17.000,,DPR,Overgrown Tree/Branches,Dead Branches in Tree,QUEENS,11001.0,In Progress,PHONE
63629068,2025-01-04T12:39:48.000,,TLC,Taxi Report,Driver Report - Passenger,QUEENS,11369.0,In Progress,PHONE
63629112,2025-01-04T13:58:36.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,QUEENS,11370.0,In Progress,ONLINE
63629390,2025-01-04T08:40:52.000,2025-01-04T08:40:52.000,DOB,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,QUEENS,11105.0,Open,UNKNOWN
63629501,2025-01-04T10:12:06.000,2025-03-27T00:00:00.000,DOB,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,QUEENS,11416.0,Assigned,UNKNOWN
63629730,2025-01-04T03:46:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10462.0,Assigned,UNKNOWN
63629731,2025-01-04T03:42:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10462.0,Assigned,UNKNOWN
63629755,2025-01-04T09:15:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10465.0,Assigned,UNKNOWN
63630457,2025-01-04T11:31:04.000,,DOHMH,Mobile Food Vendor,Equipment,MANHATTAN,10020.0,In Progress,MOBILE
63630475,2025-01-04T10:01:55.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,BROOKLYN,11214.0,In Progress,PHONE
63630561,2025-01-04T12:15:01.000,,DOHMH,Mobile Food Vendor,Equipment,MANHATTAN,10020.0,In Progress,MOBILE
63631892,2025-01-04T22:25:36.000,,HPD,PAINT/PLASTER,RADIATOR,BROOKLYN,11216.0,Open,ONLINE
63632046,2025-01-04T09:57:27.000,,DPR,Overgrown Tree/Branches,Hitting Power Lines,BROOKLYN,11223.0,In Progress,UNKNOWN
63632121,2025-01-04T16:14:14.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,BROOKLYN,11204.0,In Progress,PHONE
63632805,2025-01-05T00:59:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11421.0,Assigned,UNKNOWN
63632830,2025-01-04T04:58:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10461.0,Assigned,UNKNOWN
63632986,2025-01-04T22:25:36.000,,HPD,GENERAL,VENTILATION SYSTEM,BROOKLYN,11216.0,Open,ONLINE
63632991,2025-01-04T19:41:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10465.0,Assigned,UNKNOWN
63632992,2025-01-04T09:17:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10465.0,Assigned,UNKNOWN
63633123,2025-01-04T22:25:36.000,,HPD,FLOORING/STAIRS,FLOOR,BROOKLYN,11216.0,Open,ONLINE
63633609,2025-01-04T11:14:39.000,,DPR,Overgrown Tree/Branches,Hitting Power Lines,BROOKLYN,11228.0,In Progress,ONLINE
63633639,2025-01-04T12:46:21.000,,TLC,Taxi Complaint,Driver Complaint - Passenger,QUEENS,11369.0,In Progress,PHONE
63634554,2025-01-04T22:25:36.000,,HPD,ELECTRIC,OUTLET/SWITCH,BROOKLYN,11216.0,Open,ONLINE
63635025,2025-01-05T13:57:32.000,,TLC,For Hire Vehicle Report,Car Service Company Report,MANHATTAN,10012.0,In Progress,ONLINE
63635146,2025-01-05T16:00:08.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,QUEENS,11367.0,In Progress,MOBILE
63636059,2025-01-05T13:08:20.000,,HPD,ELECTRIC,NO LIGHTING,BROOKLYN,11213.0,Open,ONLINE
63636442,2025-01-05T16:16:09.000,,HPD,PLUMBING,BASIN/SINK,QUEENS,11420.0,Open,ONLINE
63636482,2025-01-05T12:40:11.000,,HPD,UNSANITARY CONDITION,PESTS,QUEENS,11364.0,Open,PHONE
63636638,2025-01-05T14:17:00.000,,DEP,Sewer,Manhole Cover Missing (Emergency) (SA3),BROOKLYN,11209.0,Started,PHONE
63637001,2025-01-05T10:40:38.000,2025-01-05T10:40:44.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63637197,2025-01-05T22:30:52.000,2025-01-05T23:00:55.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63637497,2025-01-05T12:40:11.000,,HPD,DOOR/WINDOW,WINDOW PANE,QUEENS,11364.0,Open,PHONE
63637980,2025-01-05T20:07:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10469.0,Assigned,UNKNOWN
63638049,2025-01-05T12:40:11.000,,HPD,UNSANITARY CONDITION,MOLD,QUEENS,11364.0,Open,PHONE
63638179,2025-01-05T12:19:15.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,QUEENS,11375.0,In Progress,PHONE
63638217,2025-01-05T18:43:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11237.0,Assigned,UNKNOWN
63638570,2025-01-05T13:08:20.000,,HPD,GENERAL,SIGNAGE MISSING,BROOKLYN,11213.0,Open,ONLINE
63639617,2025-01-05T20:56:00.000,,DEP,Plant,DRY WEATHER DISCHARGE - DWD,BRONX,10456.0,Open,ONLINE
63639716,2025-01-05T09:20:00.000,,DEP,Sewer,Sewer Backup (Use Comments) (SA),QUEENS,11355.0,Open,ONLINE
63639909,2025-01-05T14:17:00.000,,DEP,Water System,Hydrant Defective (WC2),MANHATTAN,10032.0,Assigned,PHONE
63639963,2025-01-05T01:49:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10469.0,Assigned,UNKNOWN
63640816,2025-01-05T13:08:25.000,,DSNY,Illegal Dumping,Removal Request,QUEENS,11691.0,In Progress,MOBILE
63641128,2025-01-05T17:28:07.000,,TLC,Taxi Report,Driver Report - Passenger,MANHATTAN,10065.0,In Progress,PHONE
63641187,2025-01-05T19:29:07.000,,TLC,For Hire Vehicle Report,Car Service Company Report,MANHATTAN,10016.0,In Progress,PHONE
63641633,2025-01-05T14:16:48.000,2025-01-05T14:16:58.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63641918,2025-01-05T12:01:01.000,2025-01-05T12:01:26.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63642516,2025-01-05T08:47:09.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BROOKLYN,11207.0,In Progress,PHONE
63642517,2025-01-05T02:44:54.000,2025-05-01T00:00:00.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,BROOKLYN,11232.0,Assigned,UNKNOWN
63642560,2025-01-05T09:37:02.000,,DSNY,Lot Condition,Trash,STATEN ISLAND,10303.0,In Progress,PHONE
63643141,2025-01-05T11:39:18.000,2025-01-05T11:39:24.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63644116,2025-01-05T13:58:13.000,,DOHMH,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,BROOKLYN,11221.0,In Progress,PHONE
63644229,2025-01-05T21:02:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11230.0,Open,PHONE
63644258,2025-01-05T16:08:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11211.0,Open,PHONE
63644331,2025-01-05T18:37:14.000,,DOHMH,Construction Lead Dust,In Common Areas,BROOKLYN,11249.0,In Progress,ONLINE
63644417,2025-01-05T14:32:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11209.0,Open,ONLINE
63645241,2025-01-05T18:03:50.000,,HPD,ELECTRIC,NO LIGHTING,QUEENS,11432.0,Open,PHONE
63645556,2025-01-05T12:40:11.000,,HPD,PAINT/PLASTER,WALL,QUEENS,11364.0,Open,PHONE
63645967,2025-01-05T13:14:00.000,,DEP,Sewer,Manhole Overflow (Use Comments) (SA1),QUEENS,11367.0,Open,PHONE
63645978,2025-01-05T17:08:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11239.0,Open,MOBILE
63646750,2025-01-05T11:14:59.000,2025-01-05T11:15:14.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63646793,2025-01-05T12:48:52.000,,HPD,ELECTRIC,POWER OUTAGE,BROOKLYN,11213.0,Open,ONLINE
63647164,2025-01-05T12:40:11.000,,HPD,PAINT/PLASTER,CEILING,QUEENS,11364.0,Open,PHONE
63647210,2025-01-05T15:14:02.000,2025-02-11T00:00:00.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,QUEENS,11428.0,Assigned,UNKNOWN
63647218,2025-01-05T19:31:28.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,BROOKLYN,11204.0,In Progress,ONLINE
63647358,2025-01-05T23:37:15.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,MANHATTAN,10026.0,In Progress,ONLINE
63647457,2025-01-06T08:57:00.000,2025-01-08T11:30:00.000,DOT,Traffic Signal Condition,LED Lense,BROOKLYN,11226.0,Assigned,UNKNOWN
63647525,2025-01-06T13:50:19.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,BROOKLYN,11230.0,In Progress,ONLINE
63647545,2025-01-06T15:31:15.000,,DPR,Dead/Dying Tree,Planted More Than 2 Years Ago,QUEENS,11385.0,In Progress,ONLINE
63647571,2025-01-06T18:28:32.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,BROOKLYN,11235.0,In Progress,MOBILE
63647770,2025-01-06T10:06:48.000,,DOHMH,Construction Lead Dust,Coming into Apartment,MANHATTAN,10026.0,In Progress,ONLINE
63647807,2025-01-06T04:57:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10462.0,Assigned,UNKNOWN
63647835,2025-01-06T05:42:37.000,,DSNY,Dirty Condition,Trash,STATEN ISLAND,10309.0,In Progress,ONLINE
63648269,2025-01-06T17:03:59.000,2025-01-06T17:04:19.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63648276,2025-01-06T22:41:24.000,2025-01-06T22:41:30.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63648324,2025-01-06T23:34:08.000,2025-01-06T23:34:15.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63648436,2025-01-06T07:46:03.000,2025-01-06T07:46:03.000,DOB,General Construction/Plumbing,"Building - Vacant, Open And Unguarded",BRONX,10469.0,Open,UNKNOWN
63648470,2025-01-06T23:00:28.000,2025-01-06T23:01:12.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63648516,2025-01-06T17:29:16.000,,HPD,APPLIANCE,ELECTRIC/GAS RANGE,BRONX,10466.0,Open,ONLINE
63648520,2025-01-06T10:31:32.000,,HPD,ELECTRIC,NO LIGHTING,BROOKLYN,11221.0,Open,ONLINE
63648881,2025-01-06T10:14:00.000,,DEP,Sewer,Manhole Overflow (Use Comments) (SA1),MANHATTAN,10016.0,Open,PHONE
63648888,2025-01-06T02:17:00.000,,DEP,Sewer,Manhole Overflow (Use Comments) (SA1),QUEENS,11364.0,Open,ONLINE
63648948,2025-01-06T11:22:59.000,,HPD,PAINT/PLASTER,CEILING,BRONX,10459.0,Open,PHONE
63648968,2025-01-06T17:45:17.000,,HPD,PAINT/PLASTER,WALL,BRONX,10454.0,Open,PHONE
63648994,2025-01-06T14:03:55.000,,HPD,PAINT/PLASTER,WALL,MANHATTAN,10027.0,Open,PHONE
63649325,2025-01-06T14:03:55.000,,HPD,UNSANITARY CONDITION,PESTS,MANHATTAN,10027.0,Open,PHONE
63649494,2025-01-06T15:44:26.000,,DPR,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,STATEN ISLAND,10306.0,In Progress,PHONE
63650141,2025-01-06T22:50:56.000,2025-01-06T22:51:01.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63650302,2025-01-06T23:06:49.000,2025-01-06T23:07:04.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63650743,2025-01-06T11:23:01.000,,HPD,PLUMBING,BATHTUB/SHOWER,BRONX,10459.0,Open,PHONE
63650744,2025-01-06T15:01:28.000,,DSNY,Graffiti,Graffiti,BRONX,10460.0,Open,UNKNOWN
63650749,2025-01-05T19:57:43.000,2025-02-11T00:00:00.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,QUEENS,11428.0,Assigned,UNKNOWN
63650778,2025-01-06T07:10:43.000,,HPD,PLUMBING,BASIN/SINK,BROOKLYN,11208.0,Open,PHONE
63650997,2025-01-06T10:41:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),BRONX,10452.0,Started,PHONE
63651181,2025-01-06T15:43:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11693.0,Assigned,UNKNOWN
63651202,2025-01-06T15:19:16.000,,HPD,PLUMBING,TOILET,BROOKLYN,11225.0,Open,ONLINE
63651218,2025-01-06T15:33:38.000,,HPD,WATER LEAK,HEAVY FLOW,BRONX,10452.0,Open,PHONE
63651268,2025-01-06T10:31:14.000,,HPD,DOOR/WINDOW,WINDOW FRAME,BRONX,10452.0,Open,PHONE
63651340,2025-01-06T17:50:54.000,,HPD,APPLIANCE,REFRIGERATOR,BROOKLYN,11215.0,Open,ONLINE
63651343,2025-01-06T09:57:00.000,,DOT,Street Light Condition,Lamppost Knocked Down,MANHATTAN,10027.0,Assigned,UNKNOWN
63651610,2025-01-06T16:19:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,10468.0,Assigned,UNKNOWN
63652254,2025-01-06T17:50:54.000,,HPD,APPLIANCE,ELECTRIC/GAS RANGE,BROOKLYN,11215.0,Open,ONLINE
63652270,2025-01-06T14:45:02.000,,HPD,DOOR/WINDOW,WINDOW FRAME,BROOKLYN,11213.0,Open,PHONE
63652707,2025-01-06T15:11:17.000,,DOHMH,Construction Lead Dust,In Common Areas,MANHATTAN,10031.0,In Progress,ONLINE
63652911,2025-01-06T08:41:00.000,,DEP,Water System,Hydrant Defective (WC2),QUEENS,11423.0,Started,ONLINE
63652920,2025-01-06T09:32:00.000,,DEP,Water System,Possible Water Main Break (Use Comments) (WA1),BROOKLYN,11226.0,Open,PHONE
63652946,2025-01-06T09:56:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BRONX,10468.0,Open,PHONE
63653050,2025-01-06T17:41:00.000,,DOT,Street Light Condition,Street Light Out,MANHATTAN,10021.0,Assigned,UNKNOWN
63653062,2025-01-06T11:18:48.000,2025-01-06T11:18:48.000,DOB,General Construction/Plumbing,Building Permit - None,BROOKLYN,11236.0,Assigned,UNKNOWN
63653189,2025-01-03T07:00:00.000,,DOT,Street Condition,Wear & Tear,STATEN ISLAND,10312.0,Pending,UNKNOWN
63653241,2025-01-05T16:10:41.000,,DOT,Street Condition,Pothole,STATEN ISLAND,10309.0,Pending,UNKNOWN
63653249,2025-01-06T14:58:44.000,,TLC,For Hire Vehicle Report,Driver Report - Non Passenger,STATEN ISLAND,10304.0,In Progress,PHONE
63653351,2025-01-06T16:20:28.000,,DOHMH,Unleashed Dog,Unleashed Dog in Public,BROOKLYN,11234.0,In Progress,PHONE
63653481,2025-01-06T12:27:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11414.0,Assigned,UNKNOWN
63654026,2025-01-06T17:03:21.000,2025-01-06T17:04:12.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63654124,2025-01-06T17:29:16.000,,HPD,ELECTRIC,NO LIGHTING,BRONX,10466.0,Open,ONLINE
63654504,2025-01-06T17:50:54.000,,HPD,PAINT/PLASTER,CEILING,BROOKLYN,11215.0,Open,ONLINE
63654543,2025-01-06T04:53:58.000,2025-01-06T04:53:58.000,DOB,General Construction/Plumbing,Fence - None/Inadequate,QUEENS,11378.0,Open,UNKNOWN
63654552,2025-01-06T14:45:02.000,,HPD,PAINT/PLASTER,WALL,BROOKLYN,11213.0,Open,PHONE
63654714,2025-01-06T12:08:00.000,,DEP,Industrial Waste,Wastewater Into Catch Basin (IEB),STATEN ISLAND,10309.0,Open,PHONE
63655004,2025-01-06T14:45:02.000,,HPD,UNSANITARY CONDITION,MOLD,BROOKLYN,11213.0,Open,PHONE
63655057,2025-01-06T10:31:14.000,,HPD,UNSANITARY CONDITION,PESTS,BRONX,10452.0,Open,PHONE
63655133,2025-01-06T11:17:50.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,QUEENS,11379.0,In Progress,ONLINE
63655147,2025-01-06T10:45:49.000,,DPR,Illegal Tree Damage,Trunk Damaged,QUEENS,11365.0,In Progress,ONLINE
63655305,2025-01-06T19:55:17.000,2025-01-07T11:30:00.000,DOHMH,Indoor Air Quality,Chemical Vapors/Gases/Odors,BROOKLYN,11238.0,Assigned,ONLINE
63656085,2025-01-06T10:31:14.000,,HPD,ELECTRIC,OUTLET/SWITCH,BRONX,10452.0,Open,PHONE
63656110,2025-01-06T17:50:54.000,,HPD,FLOORING/STAIRS,FLOOR,BROOKLYN,11215.0,Open,ONLINE
63656127,2025-01-06T17:50:54.000,,HPD,GENERAL,BELL/BUZZER/INTERCOM,BROOKLYN,11215.0,Open,ONLINE
63656170,2025-01-06T17:50:54.000,,HPD,ELECTRIC,WIRING,BROOKLYN,11215.0,Open,ONLINE
63656552,2025-01-06T16:31:02.000,,TLC,Taxi Report,Driver Report - Passenger,MANHATTAN,10025.0,In Progress,PHONE
63656669,2025-01-06T19:48:03.000,,HPD,PLUMBING,WATER SUPPLY,BRONX,10456.0,Open,ONLINE
63656757,2025-01-06T16:14:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11234.0,Open,ONLINE
63656893,2025-01-06T07:51:00.000,2025-01-04T02:00:00.000,DOT,Street Light Condition,Street Light Out,MANHATTAN,10280.0,Pending,UNKNOWN
63657258,2025-01-06T14:25:16.000,,DPR,Damaged Tree,Tree Leaning/Uprooted,BROOKLYN,11219.0,In Progress,UNKNOWN
63657586,2025-01-06T21:55:00.000,,DOT,Street Light Condition,Street Light Out,QUEENS,11694.0,Assigned,UNKNOWN
63657602,2025-01-06T17:02:43.000,2025-01-06T17:04:13.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63657902,2025-01-06T22:58:34.000,2025-01-06T22:58:39.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63657950,2025-01-06T17:50:54.000,,HPD,ELECTRIC,OUTLET/SWITCH,BROOKLYN,11215.0,Open,ONLINE
63658023,2025-01-06T14:45:02.000,,HPD,FLOORING/STAIRS,FLOOR,BROOKLYN,11213.0,Open,PHONE
63658165,2025-01-06T08:58:06.000,,HPD,HEAT/HOT WATER,ENTIRE BUILDING,MANHATTAN,10027.0,Open,PHONE
63658373,2025-01-06T17:50:54.000,,HPD,PAINT/PLASTER,WALL,BROOKLYN,11215.0,Open,ONLINE
63658461,2025-01-06T17:45:17.000,,HPD,UNSANITARY CONDITION,PESTS,BRONX,10454.0,Open,PHONE
63658504,2025-01-06T08:07:23.000,2025-01-06T08:07:23.000,DOB,Boilers,Boiler - Defective/Inoperative/No Permit,STATEN ISLAND,10308.0,Open,UNKNOWN
63658605,2025-01-06T08:58:53.000,,DOHMH,Construction Lead Dust,In Common Areas,QUEENS,11694.0,In Progress,PHONE
63658792,2025-01-06T22:59:00.000,,DOT,Street Light Condition,Street Light Out,BRONX,,Assigned,UNKNOWN
63658829,2025-01-06T16:32:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11220.0,Open,PHONE
63658937,2025-01-06T20:25:31.000,,DSNY,Dirty Condition,Trash,BRONX,10457.0,In Progress,MOBILE
63658957,2025-01-06T00:52:51.000,,DPR,Damaged Tree,Tree Leaning/Uprooted,BROOKLYN,11219.0,In Progress,MOBILE
63658978,2025-01-05T14:52:14.000,,DOT,Street Condition,Pothole,MANHATTAN,10014.0,Pending,UNKNOWN
63659025,2025-01-06T10:24:12.000,,DOHMH,Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,QUEENS,11103.0,In Progress,PHONE
63659033,2025-01-06T08:27:59.000,,DPR,Overgrown Tree/Branches,Hitting Building,QUEENS,11412.0,In Progress,PHONE
63659107,2025-01-06T15:45:32.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11210.0,In Progress,PHONE
63659191,2025-01-06T13:33:20.000,,DPR,Damaged Tree,Tree Leaning/Uprooted,BROOKLYN,11235.0,In Progress,ONLINE
63659230,2025-01-06T11:44:45.000,,DPR,Maintenance or Facility,Recreation Center,MANHATTAN,10022.0,In Progress,PHONE
63660002,2025-01-06T17:50:54.000,,HPD,GENERAL,CABINET,BROOKLYN,11215.0,Open,ONLINE
63660287,2025-01-06T07:10:43.000,,HPD,UNSANITARY CONDITION,MOLD,BROOKLYN,11208.0,Open,PHONE
63660331,2025-01-06T10:02:14.000,,TLC,Taxi Report,Driver Report - Passenger,QUEENS,11369.0,In Progress,ONLINE
63660497,2025-01-06T14:03:55.000,,HPD,WATER LEAK,HEAVY FLOW,MANHATTAN,10027.0,Open,PHONE
63660535,2025-01-06T16:57:58.000,,DOHMH,Construction Lead Dust,Coming into Apartment,BRONX,10472.0,In Progress,PHONE
63660872,2025-01-06T15:19:48.000,,DOT,Street Condition,Pothole,QUEENS,11422.0,Pending,UNKNOWN
63661118,2025-01-06T17:07:17.000,,DPR,Damaged Tree,Branch Cracked and Will Fall,BROOKLYN,11204.0,In Progress,PHONE
63661119,2025-01-06T17:45:21.000,,DPR,Damaged Tree,Branch or Limb Has Fallen Down,BROOKLYN,11225.0,In Progress,PHONE
63661120,2025-01-06T11:56:15.000,,DPR,Damaged Tree,Tree Alive - in Poor Condition,BROOKLYN,11229.0,In Progress,MOBILE
63661530,2025-01-06T23:08:05.000,2025-01-06T23:08:16.000,NYPD,Noise - Residential,Loud Music/Party,BRONX,10466.0,Unspecified,MOBILE
63662137,2025-01-06T11:22:59.000,,HPD,PLUMBING,BASIN/SINK,BRONX,10459.0,Open,PHONE
63662230,2025-01-06T10:54:32.000,,HPD,SAFETY,CARBON MONOXIDE DETECTOR,BROOKLYN,11211.0,Open,ONLINE
63662274,2025-01-06T14:45:02.000,,HPD,UNSANITARY CONDITION,PESTS,BROOKLYN,11213.0,Open,PHONE
63662285,2025-01-06T10:31:14.000,,HPD,PAINT/PLASTER,WALL,BRONX,10452.0,Open,PHONE
63662290,2025-01-06T10:31:14.000,,HPD,PAINT/PLASTER,WALL,BRONX,10452.0,Open,PHONE
63662368,2025-01-06T08:22:32.000,2025-01-07T00:00:00.000,DOB,General Construction/Plumbing,Curb Cut/Driveway/Carport - Illegal,QUEENS,11385.0,Assigned,UNKNOWN
63662469,2025-01-06T09:42:41.000,,DOHMH,Construction Lead Dust,Common Areas and Apartment,MANHATTAN,10044.0,In Progress,ONLINE
63662584,2025-01-06T16:29:00.000,,DEP,Water System,Leak (Use Comments) (WA2),BROOKLYN,11219.0,Open,PHONE
63662687,2025-01-06T19:25:00.000,2025-01-06T23:10:00.000,DOT,Traffic Signal Condition,Pedestrian Signal,BROOKLYN,11221.0,Assigned,UNKNOWN
63662696,2025-01-06T11:34:17.000,2025-01-06T11:34:17.000,DOB,General Construction/Plumbing,Building Permit - None,BROOKLYN,11236.0,Assigned,UNKNOWN
63663068,2025-01-07T15:54:12.000,,TLC,Taxi Report,Driver Report - Passenger,MANHATTAN,10004.0,In Progress,PHONE
63663083,2025-01-07T10:22:49.000,,DPR,Uprooted Stump,Remove Stump,QUEENS,11357.0,In Progress,ONLINE
63663084,2025-01-07T10:25:30.000,,DPR,Uprooted Stump,Remove Stump,QUEENS,11360.0,In Progress,ONLINE
63663289,2025-01-07T07:54:21.000,,DPR,Damaged Tree,Entire Tree Has Fallen Down,QUEENS,11104.0,In Progress,ONLINE
